S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
122,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,ISHA PUR,KAU08010,T-D,July,2024,0,3295.2,ISHAPUR_120634,1645,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,JAITOLI_120634,1650,EDD II GAJRAULA,PASCHIMANCHAL
124,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,63 MVA TF-1,UP-2764A,T-D,July,2024,0,13756.32,,,,
125,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,63 MVA TF-2,UP-2765A,T-D,July,2024,0,15419.52,,,,
126,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,40 MVA TF-1,UP 5014 A,T-D,July,2024,0,3335.28,,,,
127,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,BURAWALI,KAU08028,T-D,July,2024,0,3378.4,BURAWALI_120634,3378,EDD II GAJRAULA,PASCHIMANCHAL
128,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,sector 17A,UPU19211,T-D,July,2024,0,4264.8,BHATTA PARSOL_141026,2687,EUDD GREATER NOIDA,PASCHIMANCHAL
,,,,,,,,,,,,SEC-17A_11510,1895.16,EUDD GREATER NOIDA,PASCHIMANCHAL
130,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,MANDI SHYAM NAGAR,UPU19212,T-D,July,2024,0,0,MANDI SHYAM NAGAR_141026,6063.5,EUDD GREATER NOIDA,PASCHIMANCHAL
,,,,,,,,,,,,DANKOR_11292,4731,EUDD GREATER NOIDA,PASCHIMANCHAL
132,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,DANKAUR,UPU19205,T-D,July,2024,0,8586.6,,,,
133,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,SECTOR 22A SALARPUR,UPU18240,T-D,July,2024,0,0,,,,
134,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,BHATTA PARSOL,UPU19209,T-D,July,2024,0,2776.2,,,,
135,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,WAIR,UPU19220,T-D,July,2024,0,1257.8,SALARPUR_141026,2984.88,EUDD GREATER NOIDA,PASCHIMANCHAL
136,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,BUS COUPLAR,UPU19222,T-D,July,2024,0,6108.4,,,,
