S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
139,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. QUILA,16197692,T-D,June,2024,0,2340.6,QUILA_10374,2341,EDD I RAMPUR,PASCHIMANCHAL
140,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. SWAR(RURAL),16197690,T-D,June,2024,0,6302.4,SWAR_120542,6302,EDD II RAMPUR,PASCHIMANCHAL
141,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. JAUHAR UNIVERSITY,16197686,T-D,June,2024,0,2.8,JAUHAR UNIVERSITY_11520,3,EDD II RAMPUR,PASCHIMANCHAL
142,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33 KV FEEDER BHOT,16197654,T-D,June,2024,0,3919.4,BHOT_120544,3919,EDD BILASPUR,PASCHIMANCHAL
143,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),"132KV RANA SUGAR MILL, BELWARA (COGEN)",UPP68869,T-D,June,2024,0,164.59,,,,
144,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. DARIYAL,KAU07998,T-D,June,2024,0,0,DARIYAL_120542,4303,EDD II RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,DARIYAL_120542,4303,EDD II RAMPUR,PASCHIMANCHAL
146,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TANDA RURAL,UPP26457,T-D,June,2024,0,0,SARKHADA KHAS_120412,2839,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,TANDA_120542,4496,EDD II RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,SARKHADA KHAS_120412,2839,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,TANDA_120542,4496,EDD II RAMPUR,PASCHIMANCHAL
150,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. SAID NAGAR,KAU08004,T-D,June,2024,0,0,SAID NAGAR_120542,3146,EDD II RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,SAID NAGAR_120542,3146,EDD II RAMPUR,PASCHIMANCHAL
152,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TRIVENI ENGG. & INDU. LTD.(COGEN),KAU07955,T-D,June,2024,0,0,,,,
