S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
168,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Awagarh,XD508929,T-D,June,2024,0,5698.6,AWAGARH_22063,5698.6,EDD I ETAH,DAKSHINANCHAL
169,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Issara,Y0197720,T-D,June,2024,0,848.4,ISHARA (SAKIT)_24527,420.12,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,ISHARA_24526,417.4,EDD II ETAH,DAKSHINANCHAL
171,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Nidhauli kalan,Y0197686,T-D,June,2024,0,3027.8,NIDHAULI KALAN_22558,3027.8,EDD I ETAH,DAKSHINANCHAL
172,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,33 KV TBC,Y0197687,T-D,June,2024,0,0,,,,
173,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Gadanpur,XD508946,T-D,June,2024,0,2100.4,UDESAR (GADANPUR)_24905,2100.4,EDD I ETAH,DAKSHINANCHAL
174,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Salempur Bibi,XG485937,T-D,June,2024,0,861.5,SALEMPUR BIBI_24826,861.5,EDD KASGANJ RURAL,DAKSHINANCHAL
175,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Soron Rl,XG485936,T-D,June,2024,0,3271,SORON RURAL_24880,3271,EDD KASGANJ RURAL,DAKSHINANCHAL
176,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Collectrate,XG485930,T-D,June,2024,0,67,COLLECTRATE_24443,134,EDD KASGANJ RURAL,DAKSHINANCHAL
177,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Manpur Nagariya,XG485933,T-D,June,2024,0,0,NAGARIYA_24691,1842.1,EDD KASGANJ RURAL,DAKSHINANCHAL
178,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,33kv Bus Coupler,XG485931,T-D,June,2024,0,0.7,,,,
